ROWS_SITE_ID,1_EWSRC_ID,5_EWSRC_ID,35_EWSRC_ID,36_EWSRC_ID,37_EWSRC_ID,38_EWSRC_ID,50_EWSRC_ID,51_EWSRC_ID,60_EWSRC_ID,63_EWSRC_ID,70_EWSRC_ID,79_EWSRC_ID,87_EWSRC_ID,204_EWSRC_ID,206_EWSRC_ID,211_EWSRC_ID,212_EWSRC_ID,223_EWSRC_ID,224_EWSRC_ID,278_EWSRC_ID,414_EWSRC_ID,457_EWSRC_ID,466_EWSRC_ID,490_EWSRC_ID,536_EWSRC_ID,640_EWSRC_ID,650_EWSRC_ID
R_414216A,b-CHAFGRV.1,b-CHAFGRV.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_416001,b-MUNGIND.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_417001,b-GUNDABA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_418001,b-PALLAMA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_418066,b-GWYMILL.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_419003,b-NARRCRK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_419039,b-MOLLEE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_419091,b-NAMWALG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_420020,b-GUNGLMN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_421023,b-GONGOLG.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422001,b-WALGETT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422002,b-BREWARR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422003,b-COLLARE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422004,b-MOGIL.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422005,b-BOKHARA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422006,b-KENEBRE.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422011,b-MUNDIWA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422015,b-BRENDA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422023,b-BREWTOT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422025,b-TARA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422026,b-BOROMA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422027,b-GEERA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422028,b-BEEMERY.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422030,b-NEWANGL.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422032,b-BOKHGOO.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_422033,b-COLLTOT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_423001,b-FORDSBR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_423002,b-FORDSBY.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_423004,b-BARRING.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425003,b-BOURKE.1,b-BOURKE.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425004,b-LOUTH.1,b-LOUTH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425005,b-POONCAR.1,b-POONCAR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425007,b-BURTUND.1,b-BURTUND.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425008,b-WILCAN.1,b-WILCAN.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425010,b-WENTWTH.1,b-WENTWTH.5,,,b-WENTWTH.37,,,,,,,,,,,,,,,,,,,,,,
R_425012,b-WEIR32.1,b-WEIR32.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425014,b-CAWNOUT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425017B,,b-WENTDAR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_425018,b-TALYBH.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425020,,,b-WETHER.35,b-WETHER.36,,,,,,,,,,,,,,,,,,,,,,,
R_425021,,,b-PAMAMA.35,b-PAMAMA.36,,,,,,,,,,,,,,,,,,,,,,,
R_425022,,,b-LKMENIN.35,b-LKMENIN.36,,,,,,,,,,,,,,,,,,,,,,,
R_425023,,,b-CAWNDIL.35,b-CAWNDIL.36,,,,,,,,,,,,,,,,,,,,,,,
R_425024,b-PAMAMIN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425025,b-MENININ.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425034,b-MENINMW.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425039,b-WARAWEN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425040,,,b-MENICAW.35,b-MENICAW.36,,,,,,,,,,,,,,,,,,,,,,,
R_425042,b-PAMOUT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425043,b-WETHOUT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425044,b-MENOUT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_425048,b-DARLANA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_42510008,,,b-TANDURE.35,b-TANDURE.36,,,,,,,,,,,,,,,,,,,,,,,
R_42510037,,,b-COPIHOL.35,b-COPIHOL.36,,,,,,,,,,,,,,,,,,,,,,,
R_425900,b-TILPA.1,b-TILPA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_426200A,b-MRUFUSR.1,b-MRUFUSR.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_6ON7CHN,b-6ON7CHN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260500,b-LVICIN.1,,b-LVICINU.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260501,,b-LOCK9US.5,b-LOCK9US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260502,b-LVIC.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260505,b-LOCK9US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260506,,b-LOCK8US.5,b-LOCK8US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260507,b-LOCK8US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260508,,b-LOCK7US.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260509,b-LOCK7US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260510,,b-LOCK6US.5,b-LOCK6US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260511,b-LOCK6US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260512,,b-LOCK5US.5,b-LOCK5US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260513,b-LOCK5US.1,,,,b-L5MET.37,b-L5MET.38,,,,,,,,,,,,,,,,,,,,,
R_A4260514,,b-LOCK4US.5,b-LOCK4US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260515,b-LOCK4US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260516,,b-LOCK3US.5,b-LOCK3US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260517,b-LOCK3US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260518,,b-LOCK2US.5,b-LOCK2US.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260519,b-LOCK2US.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260521,,b-MANNUM.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260524,,b-MILANG.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260525,b-GOOLBDS.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260526,b-MUNDOO.1,,,,b-MUNDOO.37,b-MUNDOO.38,,,,,,,,,,,,,,,,,,,,,
R_A4260527,b-TAUWIT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260528,b-OVERLAN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260537,,b-BERRI.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260550,,b-LOXTON.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260553,,b-LVIC.5,b-LVIC.35,b-LVIC.36,,,,,,,,,,,,,,,,,,,,,,,
R_A4260554,,b-MORGAN.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260570,b-BOUNDCK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260571,b-EWEI.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260574,,b-MULGUNA.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260575,,b-POLTALL.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260628,,b-RENMARK.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260630,,,b-MENINGI.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260635,,b-LVICCON.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260640,,,b-LKALEX.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260641,,b-RRMOUTH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260902,,b-RRMOUTH.5,b-RRMOUTH.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4260903,b-LOCK1US.1,,,,b-L1MET.37,b-L1MET.38,,,,,,,,,,,,,,,,,,,,,
R_047016,,,,,b-LVICMET.37,b-LVICMET.38,,,,,,,,,,,,,,,,,,,,b-LVICMET.640,b-LVICMET.650
R_A4261034,,,,,b-GOOLWAB.37,,,,,,,,,,,,,,,,,,,,,,
R_A4261091,b-CHOWILA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261093,,b-LVICPON.5,b-LVICPON.35,b-LVICPON.36,,,,,,,,,,,,,,,,,,,,,,,
R_A4261123,,b-GOOLWAB.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261124,,b-CLAYTON.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261126,,b-WOODPON.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261133,,b-NARRUNG.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261153,,b-WALTOWA.5,b-WALTOWA.35,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261155,,b-MENINGI.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261159,,b-WELFERY.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261162,,b-MBRIDGE.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_A4261164,,b-SWNRCH.5,,,,,,,,,,,,,,,,,,,,,,,,,
R_AVOCA,b-AVOCA.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BARMWTP,,,,,,,,,,,,,,,,,,b-BARMWTP.223,,,,,,,,,
R_BARRCK,b-BARRCK.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BARRFSH,b-BARRFSH.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BARRPUM,,b-BARRPUM.5,,,,,,,b-BARRPUM.60,,,,,,,,,,,,,,,,,,
R_BERRWTP,,,,,,,,,,,,,,,,,,b-BERRWTP.223,,,,,,,,,
R_BOGAIN,b-BOGAIN.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BOGAOUT,b-BOGAOUT.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BROKESC,,,,,,,,,,,,,,b-BROKESC.204,,,,,,,,,,,,,
R_BURPUMP,,,,,,,b-BURPUMP.50,,,,,,,,,,b-BURPUMP.212,,,,,,,,,,
R_CADPUM,,,,,,,,,,,,,,,,,,,b-CADPUM.224,,,,,,,,
R_CAW2DAR,b-CAW2DAR.1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_CHANNL9,b-CHANNL9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
